bordId;datumPlaat_v2;aanzichtid_v2;opstelling_v2;copyDatum_v2;xcoord_v2;ycoord_v2;bordcode;parameters_v2;name;help;wiki;key;value;confusion_possible
2621411;8/18/2021;1736987;1226275;9/16/2021;41687,3436999992;209476,093699999;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2629464;9/1/2021;1741763;1227889;9/16/2021;205182,7601;198910,2401;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2631119;9/6/2021;1742717;1228318;9/16/2021;105669,250699997;191693,036899999;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2631569;9/15/2021;1742984;1228410;9/16/2021;39307,5724999979;208412,960099999;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2635573;8/24/2021;1745052;1229134;9/16/2021;102829,270900004;195876,0759;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2638004;9/15/2021;1746322;1229651;9/16/2021;156055,390100002;230223,220100001;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2638015;9/15/2021;1746329;1229655;9/16/2021;156123,060099997;230136,500100002;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2638025;9/15/2021;1746336;1229659;9/16/2021;156035,910099998;230152,030099999;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2638428;9/15/2021;1746560;1229717;9/16/2021;54285,8575000018;190820,9175;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2638448;9/15/2021;1746571;1229721;9/16/2021;51303,2700999975;192082,4201;A14; ;Speed bump; ;Key:traffic_calming;traffic_calming;bump; 
2635705;9/6/2021;1745131;1229184;9/16/2021;103413,227499999;187085,352499999;A25; ;Bicycle crossing; ; ;bicycle;yes; 
2629194;8/31/2021;1741648;806464;9/16/2021;81321,0350999981;192875,252099998;A7a; ;Road narrows; ;Key:traffic_calming;traffic_calming;choker; 
2629205;8/31/2021;1741652;806475;9/16/2021;81209,1991000026;192828,349100001;A7a; ;Road narrows; ;Key:traffic_calming;traffic_calming;choker; 
2629236;8/31/2021;1741662;806461;9/16/2021;81426,6530999988;192942,2881;A7a; ;Road narrows; ;Key:traffic_calming;traffic_calming;choker; 
2635532;8/24/2021;1745033;1207247;9/16/2021;102676,028099999;196286,0471;A7a; ;Road narrows; ;Key:traffic_calming;traffic_calming;choker; 
2635568;8/24/2021;1745050;1207592;9/16/2021;102531,195100002;196524,611099999;A7a; ;Road narrows; ;Key:traffic_calming;traffic_calming;choker; 
2635739;9/6/2021;1745154;1229187;9/16/2021;103413,9683;187094,5601;A7c; ;Road narrows left; ;Key:traffic_calming;traffic_calming;choker; 
2637362;9/15/2021;1746008;1229532;9/16/2021;155845,350100003;229947,410100002;A7c; ;Road narrows left; ;Key:traffic_calming;traffic_calming;choker; 
2625236;8/25/2021;1739315;1227088;9/16/2021;41716,1875;209985,375100002;B1; ;Give way; ;Key:give_way; ; ;1
2625243;8/25/2021;1739322;1227090;9/16/2021;41674,2501000017;209948,8125;B1; ;Give way; ;Key:give_way; ; ;1
2626419;8/25/2021;1739984;1226929;9/16/2021;67794,4231000021;209327,894099999;B1; ;Give way; ;Key:give_way; ; ;1
2626763;8/27/2021;1740191;1227397;9/16/2021;88791,0900999978;165708,270100001;B1; ;Give way; ;Key:give_way; ; ;1
2626991;8/29/2021;1740312;1227441;9/16/2021;173930,271899998;182444,335299999;B1; ;Give way; ;Key:give_way; ; ;1
2627081;8/29/2021;1740361;1227464;9/16/2021;176877,271899998;183545,460299999;B1; ;Give way; ;Key:give_way; ; ;1
2627082;8/29/2021;1740362;1227465;9/16/2021;176883,896899998;183550,772700001;B1; ;Give way; ;Key:give_way; ; ;1
2627151;8/29/2021;1740403;1227477;9/16/2021;175966,5845;183729,022700001;B1; ;Give way; ;Key:give_way; ; ;1
2627179;8/29/2021;1740418;1227485;9/16/2021;176234,271899998;184170,022700001;B1; ;Give way; ;Key:give_way; ; ;1
2627184;8/29/2021;1740423;1227490;9/16/2021;173278,5845;184775,460299999;B1; ;Give way; ;Key:give_way; ; ;1
2627205;8/29/2021;1740439;1227503;9/16/2021;172868,7095;184595,647700001;B1; ;Give way; ;Key:give_way; ; ;1
2627209;8/29/2021;1740443;1227507;9/16/2021;173848,4595;184970,022700001;B1; ;Give way; ;Key:give_way; ; ;1
2627352;8/30/2021;1740511;1227541;9/16/2021;174839,375100002;182664,593699999;B1; ;Give way; ;Key:give_way; ; ;1
2627693;8/30/2021;1740710;1227605;9/16/2021;82220,6900999993;192269,9001;B1; ;Give way; ;Key:give_way; ; ;1
2628385;8/30/2021;1741187;1227641;9/16/2021;82568,3400999978;192754,680100001;B1; ;Give way; ;Key:give_way; ; ;1
2629013;9/1/2021;1741567;1227802;9/16/2021;207049,2601;199505,9901;B1; ;Give way; ;Key:give_way; ; ;1
